,Sampling Location,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-15 00:00:00,2016-05-15 00:00:00,2016-06-15 00:00:00,2016-07-15 00:00:00,2016-08-15 00:00:00,2016-09-15 00:00:00,2016-10-15 00:00:00,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y
20,Zoopark,11.350934548387098,6.196917862068966,5.4204034838709685,6.1,5.070820518518518,,,8.928455,6.854236,6.086657,13.80522,8.8,7.861364441284556,58.755688709677415,57.6,55.81363636363635,49.2,52.41981379310345,,,17.89061,16.50282,42.48441,64.88364,48.6,46.415061886641716,165.24059161290322,130.68965517241378,131.61290322580646,115,81.18427655172412,,,38.27944,35.21622,115.4603,176.5938,117,110.62771865628474,79.1491935483871,62.241379310344826,59.354838709677416,48,32,,,17.91037,16.81935,59.96438,103.6406,58.5,53.75801115684094,10.458198387096774,10.429519655172411,10.351596451612904,24.5,30.907148620689654,,,16.53539,9.616372,15.59165,20.3662,16.8,16.555607511457175,32.190325483870964,38.9,44.33851387096774,44.3,36.641379310344824,,,10.3,20.9,31.3,39.4,28.6,32.68702186651836,1.1432645161290322,1.0524137931034483,0.9983929741935484,0.91,0.7444827586206898,No data,No data,0.47,0.46,0.71,0.95,1.1,0.8538554042046718,4.751027935483872,1.6,1.652976158064516,1.1,0.3980691517931034,-,-,1.3,0.6080295,0.8675299,1.289749,1.4,1.4967381645341493
21,Pashamylaram,23.1,12,10.5721085,8.858591066666667,5.648909137931034,4.813937,3.7,4.301424,7.906579,21.40628,36.83995,14.1,12.770648225383141,82.7,62.7,55.01,56.11159533333333,76.29707448275862,65.92497,66.6,75.53783,64.87439,69.47612,44.70104,65.1,65.41941831800767,104.7,92.05781814814814,105.16666666666667,92.79444133333335,63.65130172413794,49.49132,37,43.81779,62.67391,132.7546,194.0749,96,89.51522898935718,54.1,45,43.6,34.099797333333335,22.99859068965517,17.74306,12,12.43079,23.22283,55.8727,101.9308,43.2,38.84988066858237,43.8,29.8,18.401792699999998,15.833707100000002,28.343950344827583,11.94547,13,10.4171,17.6016,24.6967,23.27017,22,21.592540845402297,43.6,55.7,56.195569666666664,52.93270433333331,37.88817486206896,6.156533,6.6,15.48519,19.21792,30.22503,56.72544,44.4,35.42721348850574,1.493887322580645,1.4243429629629627,0.7095270800000003,0.6374078933333335,0.5091854793103447,0.5308893,0.7,0.835825,0.6868904,0.8775281,0.9384981,1,0.8619984698489406,0.5079589445161289,0.4126085025925927,0.13586180433333334,0.42788458566666665,0.17462801620689652,0.1140024,0.1,0.07392137,0.1713147,0.2501884,0.1268122,0.1,0.21626507694296815
22,KUDA,7,7,6.7,7,8,7,7,6,8,7,7,8,7.141666666666667,20,20,22.8,28,22,20,22,20,25,26,23,30,23.233333333333334,73,72,68,74,76,72,51,44,46,62,56,83,64.75,,,,,,,,,,,,,,22,21,22,21,21,21,18,20,20,22,22,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23," Mee-Seva, Warangal ",7,7,7.1,7,8,7,7,7,7,7,6,8,7.091666666666666,26,19,21.8,20,19,22,20,28,20,22,22,30,22.483333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21,24,21,21,28,24,22,20,22,21,23,22.416666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Balasamudram,6.3,4.8,-,5.5,6.3,8,6,5.5,6.8,7.5,8,9,6.7,9.8,9,-,14,11.5,14,15,9.5,14,18.2,26,28,15.363636363636363,56,51,-,62,76,70,64,58,53,52,88,87,65.18181818181819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Nakkalagutta,6.8,4.5,-,6.8,6.3,8,7,5,7,7.3,8,8,6.790909090909091,10.3,9.5,-,16,14.5,13,17,10,15.8,19.8,29,26,16.44545454545454,66,65,-,77,83,67,57,60,57,71,76,81,69.0909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Godavarikhani,9,10,8.96,8,9,7,7,7,8,8,7,8,8.08,21,26,36,34,30,31,23,25,28,26,29,27,28,115,93,76,74,56,41,23,41,35,58,98,106,68,,,,,,,,,,,,,,31,29,25,25,22,23,18,21,21,21,25,22,23.583333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27," DIC building, Karimnagar",8,9,7.7,7,5,5,4,6,6,6,7,7,6.4750000000000005,22,25,32.1,29,21,19,20,20,23,23,23,26,23.59166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,27,24,25,21,23,21,23,21,21,25,22,24,23.083333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"CER Club, Kothagudem",8,8,7.4,8,7,6,8,5,7,7,6,8,7.116666666666667,22,20,20.7,21,19,13,24,17,31,24,23,28,21.891666666666666,77,71,61,63,60,49,37,45,47,60,56,66,57.666666666666664,,,,,,,,,,,,,,-,-,-,-,-,20,21,21,21,21,26,21,21.571428571428573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Jalasouda ,6,7,6.1,8,7,5,8,5,8,7,7,8,6.841666666666666,19,19,20.7,19,19,21,22,14,17,23,24,27,20.391666666666666,46,51,54,51,47,47,41,37,39,48,55,60,48,,,,,,,,,,,,,,-,-,-,-,-,20,22,20,21,21,28,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Kothur,9,10,7.5,7,8,10,8,9,9,8,9,9,8.625,28,32,29.5,26,39,34,35,35,20,31,29,28,30.541666666666668,98,82,71,95,61,77,61,73,52,86,96,70,76.83333333333333,,,,,,,,,,,,,,36,24,28,21,25,47,46,30,29,27,28,24,30.416666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,R.C.Puram,6,6,7,5,5,6,5,5,5,6,6,5,5.583333333333333,28,28,27,26,26,25,26,25,22,26,24,24,25.583333333333332,98,97,93,91,61,56,48,56,47,84,97,91,76.58333333333333,-,-,-,-,33,34,15,28,23,28,43,33,29.625,21,21,21,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bollaram,10,Ins. Repair,,,12,14,13,12,14,13,14,10,12.444444444444445,26,Ins. Repair,,,24,26,24,25,24,28,26,26,25.444444444444443,171,Ins. Repair,,,165,200,190,108,111,134,136,148,151.44444444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sangareddy,5,5,5,5,5,5,5,5,5,5,5,5,5,23,23,21,23,23,22,21,22,20,24,22,23,22.25,79,70,75,66,61,56,50,58,46,76,79,75,65.91666666666667,-,-,-,-,36,23,24,13,14,23,36,31,25,-,-,-,-,-,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PETL,13,12,14,13,11,11,12,12,12,12,9,9,11.666666666666666,21,24,25,25,23,21,24,27,23,25,24,25,23.916666666666668,97,95,97,79,70,86,74,92,60,72,84,89,82.91666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Gaddapotharam,5,5,6,5,5,6,6,5,6,5,5,5,5.333333333333333,27,27,27,27,26,24,25,23,22,23,23,24,24.833333333333332,97,95,90,82,58,50,44,58,42,75,88,79,71.5,-,-,-,-,35,24,23,24,19,34,41,34,29.25,-,-,-,-,-,22,21,21,21,21,21,21,21.142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Nalgonda RO, Building",7,6,6,5,6,6,6,6,5,6,6,5,5.833333333333333,27,27,26,25,27,26,26,25,24,25,26,23,25.583333333333332,64,62,59,61,54,55,54,54,56,59,58,65,58.416666666666664,-,-,-,-,-,-,-,-,-,-,-,35,35,21.3,21.2,21.9,21,20,21,21,21,21,21,21,21,21.033333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Choutuppal, Nalgonda",7,7,7,7,7,6,6,6,6,7,6,5,6.416666666666667,28,28,29,28,28,28,27,28,25,27,25,25,27.166666666666668,49,66,74,69,69,59,61,57,60,63,61,61,62.416666666666664,,,,,,,,,,,,,,27.7,26.7,26.3,27,24,25,23,23,23,22,22,21,24.224999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Subhasnagar/  Nizamabad,-,-,-,-,-,4,4,5,5,6,5,5,4.857142857142857,-,-,-,-,-,15,17,18,18,22,21,21,18.857142857142858,67,64,66,68,71,61,57,58,56,64,60,62,62.833333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
