District,Mandal,Date,Min Temp (°C),Max Temp (°C)
Adilabad,Boath,24-Jul-22,22.7,27.1
Adilabad,Boath,25-Jul-22,22.9,27.8
Adilabad,Boath,26-Jul-22,23.6,30.3
Adilabad,Boath,27-Jul-22,22.8,27.0
Adilabad,Boath,28-Jul-22,23.7,31.1
Adilabad,Boath,29-Jul-22,22.6,33.9
Adilabad,Boath,30-Jul-22,23.6,31.0
Adilabad,Boath,31-Jul-22,22.4,32.4
Adilabad,Gadiguda,01-Jul-22,24.5,33.8
Adilabad,Gadiguda,02-Jul-22,25.1,32.7
Adilabad,Gadiguda,03-Jul-22,24.4,33.0
Adilabad,Gadiguda,04-Jul-22,23.7,31.5
Adilabad,Gadiguda,05-Jul-22,24.2,28.5
Adilabad,Gadiguda,06-Jul-22,24.8,30.4
Adilabad,Gadiguda,07-Jul-22,25.0,30.6
Adilabad,Gadiguda,08-Jul-22,24.1,31.4
Adilabad,Gadiguda,09-Jul-22,24.7,27.5
Adilabad,Gadiguda,10-Jul-22,23.4,25.6
Adilabad,Gadiguda,11-Jul-22,23.3,27.1
Adilabad,Gadiguda,12-Jul-22,23.3,26.3
Adilabad,Gadiguda,13-Jul-22,23.0,25.5
Adilabad,Gadiguda,14-Jul-22,22.6,25.0
Adilabad,Gadiguda,15-Jul-22,22.9,26.4
Adilabad,Gadiguda,16-Jul-22,24.4,30.8
Adilabad,Gadiguda,17-Jul-22,25.4,33.0
Adilabad,Gadiguda,18-Jul-22,24.0,28.3
Adilabad,Gadiguda,19-Jul-22,24.5,28.5
Adilabad,Gadiguda,20-Jul-22,25.3,32.1
Adilabad,Gadiguda,21-Jul-22,24.4,30.1
Adilabad,Gadiguda,22-Jul-22,24.4,29.1
Adilabad,Gadiguda,23-Jul-22,23.7,29.5
Adilabad,Gadiguda,24-Jul-22,24.0,27.1
Adilabad,Gadiguda,25-Jul-22,24.1,28.6
Adilabad,Gadiguda,26-Jul-22,23.6,29.9
Adilabad,Gadiguda,27-Jul-22,23.8,27.1
Adilabad,Gadiguda,28-Jul-22,25.3,32.7
Adilabad,Gadiguda,29-Jul-22,24.4,30.9
Adilabad,Gadiguda,30-Jul-22,24.6,31.2
Adilabad,Gadiguda,31-Jul-22,24.6,32.6
Adilabad,Gudihathnur,01-Jul-22,23.7,34.7
Adilabad,Gudihathnur,02-Jul-22,24.7,32.1
Adilabad,Gudihathnur,03-Jul-22,24.2,34.4
